name,molecule,strategy,n_curves,curves_kept,em2_candidates,em2_dropped,dots_moved,pts_added,pts_trimmed,f1,recall,precision,col_cov,xcal_rmse,error
graph-206,4s 4 DIMETHOXY BIPHENTL,base,2,2,0,0,720,0,0,0.9838,1.0,0.9681,1.0,107.5,
graph-207,“4s 4-O1 [SOBUTOXYBIPHENYL,columnar,2,2,0,0,766,0,0,0.9897,1.0,0.9795,1.0,100.1,
graph-208,4s 4-DI ISOBUTOXYBIPHENYL a:,base,2,2,0,0,904,0,0,0.9979,1.0,0.9959,1.0,48.8,
graph-209,BENZIDINE,columnar,2,2,0,0,1207,0,0,0.9989,1.0,0.9978,1.0,35.8,
graph-210,4-VINTL BIPHENTL,base,2,2,0,0,855,0,0,0.9985,1.0,0.997,1.0,10.3,
graph-211,m - TERPHENYL,columnar,2,2,0,0,1178,0,0,0.9847,0.9868,0.9826,0.9769,37.2,
graph-212,m -QUATERPHENTL,base,2,2,0,0,902,0,0,0.9969,1.0,0.9939,1.0,72.0,
graph-213,19 309 S-TAIPHENYL SENZENE,base,2,2,0,0,933,0,0,0.9218,0.934,0.91,0.9807,75.0,
graph-214,ly 3-DIBIPHENYLYL-BENZENE,base,2,2,0,0,1209,0,0,0.998,1.0,0.996,1.0,14.4,
graph-215,19 395-TRI (BIPHENYLYL) BENZENE,base,2,2,0,0,364,0,0,1.0,1.0,1.0,1.0,66.8,
graph-216,FLUORENE,base,3,2,0,0,257,140,594,0.997,0.9994,0.9947,0.9971,70.1,
graph-217,FLUORENE (TRACE),base,3,2,0,0,594,0,584,0.9991,1.0,0.9982,1.0,23.6,
graph-218,1-METHYL FLUORENE,base,2,2,0,0,280,13,22,0.9301,0.8725,0.9958,0.8963,17.8,
graph-219,1» 2-BENZOFLUORENE,base,2,2,0,0,614,0,0,0.9845,0.9932,0.9759,0.9872,6.5,
graph-220,"9, 10-DIHYDROPHENANTHRENE",base,2,2,0,0,797,0,0,0.9943,0.9918,0.9969,0.9956,33.4,
graph-221,CARBAZOLE,resolved,3,2,0,0,321,0,0,0.997,0.9946,0.9994,0.9954,1.6,
graph-222,CARBAZOLE,resolved,3,2,0,0,522,228,0,0.8347,0.8805,0.7935,0.9268,23.0,
graph-223,CARBAZOLE (TRACE),base,2,2,0,0,644,0,0,0.9988,1.0,0.9976,1.0,5.7,
graph-224,N-METHYLCARBAZOLE,resolved,3,2,0,0,268,0,0,0.9887,0.9919,0.9856,0.9941,16.0,
graph-225,N-METHYL CARBAZOLE (TRACE),base,2,2,0,0,893,0,0,0.9968,0.9961,0.9974,0.9946,7.4,
graph-226,N-ME THYLCARBAZOLE,columnar,2,2,0,0,502,0,0,0.9282,0.8666,0.9992,0.9311,4.6,
graph-227,N-V INYLCARBAZOLE,fixed,2,2,0,0,337,0,0,0.9898,0.9984,0.9814,0.9984,0.9,
graph-228,N-VINYLCARBAZOLE,adapt,3,2,0,0,85,51,0,0.9976,0.9951,1.0,0.9946,2.2,
graph-229,N-PHENTL CARBAZOLE,adapt,3,2,0,0,295,31,0,0.9991,0.9999,0.9983,0.9988,2.2,
graph-230,N-METHYL-2s 3-BENZCARBAZOLE,base,2,2,0,0,851,0,0,0.9301,1.0,0.8692,1.0,19.6,
graph-231,N-METHYL-2s 3-BENZOCRABAZOLE,base,2,2,0,0,602,0,0,1.0,1.0,1.0,1.0,79.9,
graph-232,OIBENZOFURAN,columnar,2,2,0,0,387,267,0,0.9667,0.9358,0.9997,0.9393,37.0,
graph-233,DIBENZOFURAN,adapt,3,2,2,1,511,118,22,0.9815,0.9889,0.9742,0.9714,38.2,
graph-234,DIBENZOTHIOPHENE,fixed,2,2,0,0,312,0,0,0.876,0.8426,0.9123,0.9241,4.2,
graph-235,OIBENZOTHIOPHENE (TRACE),base,4,2,0,0,470,0,0,0.987,0.9908,0.9832,0.9919,19.3,
graph-236,P-TERPHENTL,base,2,2,0,0,866,0,0,0.8253,1.0,0.7026,1.0,77.4,
graph-237,DEUTERATED P-TERPHENTL Cighig,base,2,2,0,0,714,0,0,0.9872,0.9992,0.9754,0.9921,80.0,
graph-238,4-METHYL TERPHENTL,base,2,2,0,0,888,0,0,0.9937,1.0,0.9875,1.0,74.6,
graph-239,2-ME THYL-P-TERPHENYL,base,2,2,0,0,519,0,0,0.9942,0.9906,0.9977,0.9951,99.3,
graph-240,39 3°~DIMETHYL-P—TERPHENYL,base,2,2,0,0,649,0,0,0.9948,1.0,0.9897,1.0,0.8,
graph-241,4~ (Se S—D IME THYLBUTOXT) -P- TERPHENTL,base,2,2,0,0,609,0,0,0.9961,1.0,0.9922,1.0,91.8,
graph-242,4- (39 3-DIMETHYLBUTOXY) -P-TERPHENTL,base,2,2,0,0,1048,0,0,0.9921,1.0,0.9844,1.0,23.1,
graph-243,4- (39 3-DIMETHYLBUTOXY?) -P-TERPHENYL,base,2,2,0,0,572,0,0,0.9968,1.0,0.9936,1.0,43.3,
graph-244,Ys 4D THEXAHY DROF RANE SOXY-P-TERPHENTL,base,2,2,0,0,635,0,0,0.992,1.0,0.9841,1.0,7.4,
graph-245,Us 4” _.OTHEXAHYDROF ARNE SOXY -P~TERPHENTL,base,2,2,0,0,461,0,0,0.9959,1.0,0.9919,1.0,103.6,
graph-246,29 2’ -METHYLENE-P-TERPHENTYL,base,2,2,0,0,657,0,0,0.9994,1.0,0.9988,1.0,97.2,
graph-247,29 2’ ~ETHYLENE-P-TEAPHENYL,columnar,2,2,0,0,816,53,0,0.9689,0.9484,0.9904,0.9553,65.5,
graph-248,2s 2’ -METHYLENE~5S‘» 6 ”-ME THYLENE-P-TERPHENYL,resolved,2,2,0,0,408,0,0,0.9937,1.0,0.9875,1.0,0.0,
graph-249,2s 2—ME THYLENE-S» G-METHYLENE-P-TERPHENYL (TRACE),columnar,2,2,0,0,534,0,0,0.9067,0.8432,0.9806,0.9412,59.2,
graph-250,3-PHENTL DIBENZOFURAN,base,2,2,0,0,474,0,0,0.9856,1.0,0.9717,1.0,13.7,
graph-251,BENZO (1» 2—b:4sS-b ) BISBENZOFURAN,columnar,2,2,0,0,360,0,0,0.9433,0.8941,0.9983,0.9329,8.8,
graph-252,BENZO (1s 2-B: 4» S-B) BISBENZOFURAN (TRACE),fixed,3,2,0,0,644,0,286,0.991,0.9995,0.9826,0.9973,7.8,
graph-253,SEXIPHENYL BENZENE,columnar,2,2,0,0,1103,0,0,0.999,1.0,0.9979,1.0,54.3,
graph-254,P-QURTERPHENYL,base,2,2,0,0,820,0,0,0.9983,1.0,0.9965,1.0,51.9,
graph-255,3s 3°“ DIME THYL~P-QUATERPHENTL,base,2,2,0,0,1133,107,0,0.9618,0.9294,0.9966,0.9496,36.1,
graph-256,TE TRAME THYL-P-QUATERPHENYL \,columnar,2,2,0,0,1034,0,0,0.9915,0.9904,0.9926,0.9866,55.5,
graph-257,"393° -DIMETHYL-3' » 2--ME THYLENE-P-QUATERPHENY,",base,2,2,0,0,774,0,0,0.9994,0.9987,1.0,0.9961,31.0,
graph-258,39 3-DIMETHYL-3 » 2--ETHYLENE-P-QUATEAPHENYL,base,2,2,0,0,940,0,0,0.9944,0.9998,0.989,0.9986,65.7,
graph-259,4— (3-ETHYLBUTOXY) -P-QUATERPHENYL,base,2,2,0,0,612,0,0,0.9995,1.0,0.999,1.0,66.3,
graph-260,4» 4“_DI (2-BUTYLOCTOXY-1) -P-QUATERPHENTL,base,2,2,0,0,681,0,0,0.9943,1.0,0.9887,1.0,14.8,
graph-261,DIETHYL-P-QUINQUEPHENYL,base,2,2,0,0,649,0,0,0.9989,1.0,0.9979,1.0,76.1,
graph-262,OF (3-ETHYLHEPTYL) -P-QUINQUEPHENYL,base,2,2,0,0,1268,0,0,0.9922,1.0,0.9845,1.0,56.1,
graph-263,TETRAME THYL-P-SEXIPHENYL,base,5,2,0,0,1280,0,0,0.9747,0.9988,0.9517,0.9957,48.9,
graph-264,TETRAMETHYL—P~OCTAPHENYL |,base,2,2,0,0,469,0,0,0.9915,0.999,0.984,0.9971,55.8,
graph-265,INDOLE,adapt,3,2,0,0,226,0,0,0.9956,0.9935,0.9977,0.9888,56.5,
graph-266,INDOLE,base,2,2,0,0,1047,0,0,0.9855,1.0,0.9714,1.0,35.9,
graph-267,INDOLE,base,2,2,0,0,298,0,0,0.9779,1.0,0.9568,1.0,15.3,
graph-268,INDOLE (TRACE),columnar,2,2,0,0,416,0,0,0.974,0.9506,0.9986,0.9527,57.0,
graph-269,2-PHENTL INDOLE,base,2,2,0,0,731,0,0,0.9987,1.0,0.9973,1.0,0.0,
graph-270,2-PHENYL INOOLE,columnar,2,2,0,0,1117,69,86,0.9633,0.9411,0.9865,0.9566,39.0,
graph-271,1-METHYL-2-PHENYL INDOLE,base,2,2,0,0,842,0,0,0.9908,1.0,0.9819,1.0,1.5,
graph-272,1-METHYL-2-PHENYL INDOLE,base,2,2,0,0,715,0,0,0.9914,1.0,0.983,1.0,79.9,
graph-273,1-NEOPENTYL-2-PHENYL INDOLE,columnar,2,2,0,0,718,52,62,0.9505,0.9811,0.9218,0.9622,75.4,
graph-274,1-NEOPENTYL-2-PHENTL INOOLE,base,2,2,0,0,1053,0,0,0.9897,1.0,0.9795,1.0,70.4,
graph-275,1-N-BUTYL~-2 (BIPHENTLYL-4%) INDOLE,columnar,2,2,0,0,1160,51,65,0.991,0.9851,0.997,0.9703,84.0,
graph-276,1-N-BUTYL-2 (BIPHENYLYL-4) INDOLE,columnar,2,2,0,0,760,0,0,0.9819,0.9653,0.999,0.9604,90.1,
graph-277,N-BUTYL-2-BIPHENTLYL- INDOLE,base,2,2,0,0,740,0,0,0.9985,1.0,0.9971,1.0,66.9,
graph-278,le 2-DIPHENYL INDOLE \,base,2,2,0,0,1158,0,0,0.9989,1.0,0.9978,1.0,47.8,
graph-279,lp 2-DIPHENYTL INDOLE,base,2,2,0,0,724,0,0,1.0,1.0,1.0,1.0,0.0,
graph-280,1-BIPHENYLYL-2-PHENYL INDOLE,base,2,2,0,0,1080,0,0,1.0,1.0,1.0,1.0,6.9,
graph-281,1s 3-DIMETHYL-2-PHENTL INDOLE,base,2,2,0,0,746,0,0,0.9986,1.0,0.9973,1.0,91.5,
graph-282,ls 3-OLMETHYL-2-PHENTL INDOLE,base,2,2,0,0,1056,0,0,0.9987,1.0,0.9974,1.0,68.1,
graph-283,23 3-DIPHENYL INDOLE,base,2,2,0,0,948,0,0,0.9915,1.0,0.9831,1.0,78.8,
graph-284,1-METHYL-29 3-DIPHENYL INDOLE,columnar,2,2,0,0,945,0,0,0.9802,0.9868,0.9738,0.9758,91.9,
graph-285,1-METHYL-29 S-DIPHENTL INDOLE,columnar,2,2,0,0,1128,0,0,0.9853,0.9912,0.9795,0.9834,68.0,
graph-286,2-PHENYL-3s 2-METHYLENE INDOLE,columnar,2,2,0,0,488,0,0,0.9255,0.9999,0.8614,0.9987,101.6,
graph-287,2-PHENYL-3» 2-METHYLENE INOOLE,resolved,2,2,0,0,895,65,26,0.9231,0.9191,0.927,0.9556,57.9,
graph-288,2-PHENYL-3s 2° -ETHYLENE INDOLE,columnar,2,2,0,0,352,71,17,0.9555,0.9175,0.9968,0.9492,118.4,
graph-289,2~PHENYL-3s 2'-ETHYLENE INOOLE,base,2,2,0,0,239,0,0,0.9708,0.9483,0.9944,0.9582,14.7,
graph-290,2-PHENYL-3» 2-ETHYLENE INDOLE (TRACE),columnar,2,2,0,0,1387,75,14,0.9391,0.9142,0.9654,0.9438,44.8,
graph-291,2-PHENTL-3s 2'-TAIMETHYLENE INDOLE,resolved,2,2,0,0,807,55,46,0.9358,0.9426,0.9291,0.954,33.2,
graph-292,2- PHENTL-3s 2-TRIMETHYLENE INDOLE,base,2,2,0,0,913,0,0,0.9995,1.0,0.999,1.0,48.1,
graph-293,1-METHYL-39 2-METHYLENE-2-PHENYL INDOLE,base,2,2,0,0,676,0,0,0.9963,1.0,0.9927,1.0,12.0,
graph-294,1-METHYL-3» 2-METHYLENE-2-PHENYL INDOLE,resolved,2,2,0,0,434,0,0,0.9521,0.9203,0.9861,0.959,45.6,
